시도,시군구,기관명,부서,전화,팩스,주소,비고
서울특별시,종로구,서울특별시 종로구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,중구,서울특별시 중구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,용산구,서울특별시 용산구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,성동구,서울특별시 성동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,광진구,서울특별시 광진구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,동대문구,서울특별시 동대문구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,중랑구,서울특별시 중랑구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,성북구,서울특별시 성북구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,강북구,서울특별시 강북구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,도봉구,서울특별시 도봉구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,노원구,서울특별시 노원구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,은평구,서울특별시 은평구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,서대문구,서울특별시 서대문구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,마포구,서울특별시 마포구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,양천구,서울특별시 양천구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,강서구,서울특별시 강서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,구로구,서울특별시 구로구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,금천구,서울특별시 금천구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,영등포구,서울특별시 영등포구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,동작구,서울특별시 동작구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,관악구,서울특별시 관악구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,서초구,서울특별시 서초구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,강남구,서울특별시 강남구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,송파구,서울특별시 송파구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
서울특별시,강동구,서울특별시 강동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,중구,부산광역시 중구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
